Player,year,length,avg_salary,cap,poc,Pos,Age,Tm,G,FG,FGA,FG.,X3P,X3PA,X3P.,FT,FTA,FT.,ORB,DRB,TRB,AST,STL,BLK,TOV,PTS,TS.,X3PAr,FTr,USG.,OWS,DWS,OBPM,DBPM
Jeff Teague,2017,3,19000000,99093000,0.19173907339569898,PG,28,IND,82,4.9,11.1,0.442,1.1,3.1,0.357,4.4,5.1,0.867,0.4,3.6,4,7.8,1.2,0.4,2.6,15.3,0.574,0.277,0.457,22.1,5.7,2.4,2.3,-0.1
Blake Griffin,2017,5,34600000,99093000,0.3491669441837466,PF,27,LAC,61,7.9,15.9,0.493,0.6,1.9,0.336,5.2,6.9,0.76,1.8,6.3,8.1,4.9,0.9,0.4,2.3,21.6,0.569,0.116,0.434,28,5.4,2.4,4.2,0.5
Andre Iguodala,2017,3,16000000,99093000,0.161464482859536,SF,33,GSW,76,2.9,5.5,0.528,0.8,2.3,0.362,0.9,1.3,0.706,0.7,3.3,4,3.4,1,0.5,0.8,7.6,0.624,0.427,0.246,11.2,4.1,2.9,0.8,1.7
Danilo Gallinari,2017,3,21666666.666666668,99093000,0.21864982053895501,SF,28,DEN,63,5.3,11.9,0.447,2,5.1,0.389,5.5,6.1,0.902,0.6,4.5,5.2,2.1,0.6,0.2,1.3,18.2,0.622,0.432,0.516,20,6.2,0.7,2.8,-1.4
Pau Gasol,2017,3,16000000,99093000,0.161464482859536,C,36,SAS,64,4.7,9.4,0.502,0.9,1.6,0.538,2,2.9,0.707,1.7,6.2,7.8,2.3,0.4,1.1,1.3,12.4,0.578,0.172,0.305,21.3,3.3,3.1,2.6,1.5
Paul Millsap,2017,3,30000000,99093000,0.30274590536163,PF,31,ATL,69,6.2,14.1,0.442,1.1,3.5,0.311,4.5,5.9,0.768,1.6,6.1,7.7,3.7,1.3,0.9,2.3,18.1,0.542,0.248,0.417,24.4,2.6,3.8,0.8,1.3
Mason Plumlee,2017,3,13666666.666666666,99093000,0.13791757910918698,C,26,TOT,81,4.1,7.7,0.536,0,0.1,0,2.1,3.7,0.58,2.1,5.4,7.5,3.5,0.9,1.1,1.7,10.4,0.558,0.01,0.482,18.1,3.6,2.4,0.6,1.4
George Hill,2017,3,19000000,99093000,0.19173907339569898,PG,30,UTA,49,5.9,12.4,0.477,1.9,4.8,0.403,3.2,4,0.801,0.5,2.9,3.4,4.2,1,0.2,1.7,16.9,0.599,0.384,0.323,23.5,4,1.9,3,0.8
JaMychal Green,2017,2,13500000,99093000,0.1362356574127335,PF,26,MEM,77,3.2,6.5,0.5,0.7,1.9,0.379,1.7,2.2,0.802,2.2,4.9,7.1,1.1,0.6,0.4,1.2,8.9,0.601,0.29,0.334,14.4,3.2,2.6,-0.9,0.2
Dewayne Dedmon,2017,2,7000000,99093000,0.070640711251047,C,27,SAS,76,2.1,3.4,0.622,0,0,NA,0.9,1.2,0.699,1.7,4.8,6.5,0.6,0.5,0.8,0.8,5.1,0.645,0,0.359,12.3,2.3,3,-1.4,2
Serge Ibaka,2017,3,21666666.666666668,99093000,0.21864982053895501,PF,27,TOT,79,6,12.4,0.48,1.6,4,0.391,1.4,1.6,0.856,1.6,5.2,6.8,0.9,0.5,1.6,1.3,14.8,0.566,0.323,0.127,20.9,2.5,2.6,0.4,-0.3
James Johnson,2017,4,15000000,99093000,0.151372952680815,PF,29,MIA,76,4.8,10.1,0.479,1.1,3.4,0.34,2,2.8,0.707,0.9,4.1,4.9,3.6,1,1.1,2.3,12.8,0.564,0.333,0.28,22,1.9,3.2,1.1,1.7
Patty Mills,2017,4,12500000,99093000,0.1261441272340125,PG,28,SAS,80,3.4,7.8,0.44,1.8,4.4,0.414,0.8,1,0.825,0.3,1.5,1.8,3.5,0.8,0,1.3,9.5,0.578,0.572,0.129,19.5,2.9,2.2,1.4,0.2
Joe Ingles,2017,4,13000000,99093000,0.131189892323373,SF,29,UTA,82,2.5,5.5,0.452,1.5,3.4,0.441,0.6,0.8,0.735,0.3,2.9,3.2,2.7,1.2,0.1,1.3,7.1,0.604,0.619,0.151,13.9,2,3,-0.7,2.3
Amir Johnson,2017,1,11000000,99093000,0.11100683196593099,PF,29,BOS,80,2.7,4.6,0.576,0.3,0.8,0.409,0.8,1.3,0.67,1.5,3.1,4.6,1.8,0.6,0.8,1,6.5,0.628,0.178,0.27,13.6,2.9,2.1,-0.7,1.3
Tim Hardaway,2017,4,17750000,99093000,0.17912466067229774,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
J.J. Redick,2017,1,23000000,99093000,0.23210519411058297,SG,32,LAC,78,5.1,11.4,0.445,2.6,6,0.429,2.3,2.6,0.891,0.1,2.1,2.2,1.4,0.7,0.2,1.3,15,0.599,0.526,0.227,22,3.3,1.5,1.6,-1.2
